question,answer
在安康学院就读是一番怎么样的体验？,高考没考好，来了安大。心中不是没有愤懑不平的，我虽然不是个尖子生，可是一直也算是个不错的学生。当初中考就没考好，530进的一中，后来高考就更坑了。。。。我一直觉得我上个一般的一本还是可以的，可是谁知道连二本差点没考上，所以刚来的时候我很不开心，非常不开心，非常非常不开心。最大的体验就是安大很穷，这是真的，穷的连图书馆都没有。。。不过也快建好了，大概下学期吧。 我大学很平淡，成绩不好不坏，不爱参加活动，没有参加学生会什么的，我感觉现在很迷茫，不太知道要去做什么。当然这是我自己的原因，和学校没有关系。 刚高考完，我的感觉就是绝望。我的理想什么的，可能这辈子都没法实现了。不过安大很美，老师很耐心，我觉得说什么设施不好，实验不多的，完全就是一个原因，我们穷啊穷啊穷啊穷。。。。不过我不大准备考研，所以实验什么的无所谓了。。。 书不会因为你是二本生就不让你读，所以还是在自己。学校也不是好或者坏可以言论的，学校是个无意识的东西，能让学校名声好名声不好的，只有人。所以你怪学校不好还不如怪自己不努力。希望安大学生不断进取做出成绩，让安大也成为被人们所熟知的学校，让我们成为安大的骄傲。 就像有一个答主说的，这是我的学校，这是我的青春。厮是吾校，虽不如清华赫赫吾校名无穷，却也值得我们同抹黑她名声的人战斗。
合肥工业大学，长安大学，安徽大学报哪个会好一点？,看你想选什么专业了。 长安大学不太了解。 我本科安大，工大算是耳濡目染一点。说的不好请多包涵。 安大的文科专业：历史，新传，文学，以及外语排名都是很不错的。但是文科就业不佳，这是事实，除了外语和新传还好些，历史的就业可能真的不太乐观。 理科专业：数学，化学都挺不错。算是比较扎实的学科。 工科专业中计算机非常好，我研究生转行读的计算机，发现安大cs口碑还是不错的。其他工科专业肯定是不如工大了。 财经类专业是比较火爆的，据我所知安大入学最高分基本分布在金融会计等专业。  来说说工大，车辆工程，管理学等都非常强，学校无论是就业率还是各种排名都高于安徽大学。工科也比较好就业，我高中同学本科工大自动化毕业后直接合肥就业了，薪资5000左右吧。但本科毕业就业这件事在安大学基础学科的我是想都不敢想的。  安徽大学是一所综合性大学，文科是强项，理科也扎实，但是文理这样的基础学科就业一直不乐观，除非你学业顶尖。  总得来说，专业比较重要，你不讨厌他，他还比较好就业，就可以了。然后，学校都是211大学，资源政策都在一个阶梯内吧。  最后感谢一下我的母校安徽大学，你没那么出名，没那么耀眼。但是给高考失利的我一个安稳的容身之所。给了我保研的名额，给了我一个过的不错的本科生涯，给了我青涩的爱情和一群很棒的朋友。   以上
中国科大周围有什么美食？,泻药。 看来是要暴露我在吃货界的帮主地位了~ 1、东区东门出去南走200米，得符香蜜汁烤翅。蜜汁烤翅是招牌，味道确实很不错，不过，个人觉得最大的招牌是变态辣的烤翅，有人在吃过变态辣的烤翅后喝掉了三瓶果粒橙，大瓶的唉！不要问我是怎么知道的~  2、老火大骨头。距离还是有点远的，在南区旁边，位置说不清了，自行度娘吧！不要被这么朴实的店面欺骗的好不好！不要被到南区的遥远的距离吓到了好不好！吃过一次绝对会有第二次的好不好！性价比还是非常高的，有自行车之前专门走30分钟过去的，每次去人都好多的！  3、安大北门小吃一条街。 安大在哪科大的孩纸们都知道的吧~从西区骑车穿过安大，五六分钟就能到了，真心不算远。在科大有体会到合肥的生活气息吗？有体会到大学带来的校园经济发展吗？有见过科大的小吃一条街吗？还好安大的小吃一条街都能满足你，大概有二三十家不错的小吃店，种类还是非常丰富的，蛋挞和砂锅是个人最喜欢的。顺带说一句，晚上5、6点的时候去那边，是最热闹的时候，好多安大、安医大的妹纸们都会去那里吃的哦~科大的汉纸们是不是动心了~~开玩笑啦，BTW，今年一月合肥卫生检查的时候，那边在外面加了一层蓝色的围栏，不知道现在拆了没有哎 4、尚品宫纸上烧烤。科大东区北门向北走，百老汇旁边。 其实许多人并不是太喜欢这个店的哎，相对更喜欢楼上的随意小酌的自助火锅，不过个人真的好喜欢这个店啊！其实，中午刚从那里吃了出来的。。。这里烧烤也是自助的，价格还可以吧，三十多一个人，除了烧烤，每桌上都附赠一个自助的小火锅，种类相比楼上的随意小酌还是丰富不少的，尤其是还有冰淇淋哦~    5、店的名字不记得了，位置大概在这里，宿松路红绿灯东侧艾比克南边30米左右的三岔路口向西走第一家，一个烧烤的小摊~~炸的土豆片儿味道非常赞哦，里面还是有盖浇饭炒饭之类的主食的，感觉味道比南门出去的那一片烧烤味道不知道高到哪里了~  6、好吧，其实吃的最多的还是西区东门的那一片的小吃了。晚上从西区做完实验回东区的时候，必定要买点什么带回去的~~就说两个最喜爱的吧！第一、神马真给力土豆，名字没写错，人家就是叫这名字的，真的超级给力的好不好！抹上番茄酱味道更赞啦！室友都点名要求我从西区回去的时候给他带的哎~第二，鱿鱼卷饼，这个分量还是很足很足的啊，关键是闻着太香啦~~(对于东区的孩纸，记得只有晚上才有哦) 7、我说的这个大一的小朋友们已经无缘见到啦，在你们来之前，清真食堂还是叫做星座餐厅的，那时候可没有现在清真食堂这么高大上，不过，里面第二个窗口的烤肉蛋炒饭味道真心好啊，无数次坐在清真食堂干净的桌面上，看着一束束美艳的玫瑰花想着曾经又脏又破的星座食堂里的8块钱的烤肉蛋炒饭啊~btw，之前那里面的小火锅味道也是很赞的，至少不会像现在这样西区有三家麻辣香锅东区却什么都没有啊~~(捂脸~~)    什么？以上所有都尝过了？好吧，最后再给你介绍一个 非常冷僻的地方吧！   冷僻到所有地图都不合适了哎。。。将就下这图。。大概方位看清楚了吗？看到创景花园那里的一个小王卤菜了吗？我要说的不是小王卤菜，而是小王卤菜旁边的一个小型的美食城，就在一楼，找到小王卤菜就能找到。从科大北门骑车五分钟内能到。那里面有两家麻辣烫，还有些小火锅盖浇饭面食之类的，其中有一家麻辣烫提供芝麻酱，味道挺不错的，店主好像是一个四五十岁的大妈的，很和蔼。其实是有一次，我在百度上看到那里附近有一个豪大大鸡排，和同学一起想去的，找了好久都没找到（后来打电话给店主得知是关门了，度娘推荐的真心不靠谱~），就偶然发现了这个地方。好吧，我承认是在科大太寂寞了才出去觅食的╰_╯  就先到这里啦~~~
安徽大学、湖南大学和吉林大学哪个大学更好？,安大本科，就是你们看不起的安大，而且还是理工科，不管是吉林大学湖南大学还是安徽大学也都只是一所普通的大学，高考多考几分就上吉大，湖大，少考几分就上安大，能有多优越，高考对大部分人来说也只是拼努力拼运气的考试，说实话真不知道有些人的优越感到底是怎么来的，都是从高考过来的，谁都没有差太多，真有那么优越，参加什么高考啊。 百度基本有的东西就不说了，作为一个还没毕业的大三狗，我很喜欢我的学校，就像是高中一心憧憬的大学一样，校园很好看，学姐很漂亮，大概因为学生男女比例是1：1的原因，经常有一对一对虐狗人士出现。我们的老师都是很不错的老师，专业课用的书基本也都是我们自己的老师主编的。  学习还是看个人，这里有整天泡在图书馆的学霸，也有在网吧熬夜打游戏的。 自认为安大还是很不错的学校，我不会羡慕吉大，湖大的学生，也不会看不起比我们学校差的学校。
你见过或者自己立过哪些在明显劣势立场下的神论？,辩论20年来，攒了很多神论，一下子真想不起来，所以这个答案不间断更新吧。 ps：注意都是劣势立场，也都是神论，不是奇葩论。但是这些论未必是没有漏洞的，请不要在评论中和我辩论某一神论，在这里是分享的不是挨骂的。 更新到5月31日。 --------------------------------------------------------------- 和平共处是不可能实现的梦想 98凌云杯 中科大 1、和平共处不等于和平地共处，它是一个专有概念，特指国家之间（内部？）没有矛盾的状态。 2、国家是阶级矛盾冲突的产物。 3、只要有国家存在一天，就不可能实现和平共处，将来到了共产主义社会，国家消失了，也就不存在和平共处这一说法了。  拾金不昧要回报 倪达 安大 1、回报包括精神回报，哪怕只是一声谢谢，一个肯定。 2、从国家社会的角度看，为了鼓励更多的人，我们要给予拾金不昧者精神回报（注意看主体和价值层的变化）。  横刀夺爱是道德的 倪达 安大 我承认横刀是暴力，夺爱是破坏，我确实破坏了你们的幸福， 但我这样做， 是因为有一个人愿意比她的他更爱她， 有一个人愿意背负着整个世界的指责去爱她， 有一个人愿意用所有的努力证明，横刀夺爱是为了更爱更幸福， 如果在座各位和我一样认为这并非不幸福的话，请给一点掌声！ （其实是陈词了）  亡羊补牢为时已晚 陈环 安大 1、“已晚”还是“未晚”从逻辑上都说得通，看针对谁。 2、从价值上，提倡“亡羊补牢为时已晚”是为了最大程度地规避错误、避免遗憾，这就好像小孩想拿手碰滚烫的开水壶、还没碰就要一巴掌打过去。提倡“为时不晚”其实是对犯错者的宽慰。 3、对于今天的社会来说，宽慰并不缺乏，更需要唤起的是人们防微杜渐的心理。  齐达内该顶不该忍 倪达 安大 1、当规则无法捍卫一个人最基本的尊严时，就该勇于抵抗、打破不合理的规则。 2、触犯最基本的尊严不是小不忍，比赛的胜负不是大谋。  拯救大兵瑞恩（8个换1个）值不值 李恩泽 电子科大 1、值得不值得，不是拿生命和生命比，而是拿生命和道义（建立正义）比。 2、“舍生取义”是值得的。  英雄自以成败论 98蓝带杯 西安交大 1、评价一个人是否英雄，应该看他的成功之处和失败之处，综合看是不是成功的人。 2、这里的成败是社会历史人民意义的。  人类不是大自然的保护者 04全辩 厦门大学  1、人类是不是大自然的保护者，人类和大自然说了都不算，要由第三只眼来评断。 2、所以我们讨论，价值上要不要提倡保护者的心态，还是应该敬畏自然与其协调统一。+
在校大学生倡议安装空调却被某网站网友批判，合理吗？,记得去年的这时候，天真的超级热。 我们都是睡在宿舍地上了。 然后我们都在商量着怎么让学校给装空调。。  然后出了件事儿。 安大停电了。。。然后安大的同学坐不住了。 据说安大男生们把宿舍的东西纷纷往楼下扔。。    什么塑料盆啊。热水瓶啦。。。。  停电致安大学生疯狂     安大发生学生抗议事件：高温停电引学生砸东西呼吁装空调    场面极其劲爆。。。 当然最快活的是捡塑料瓶的大妈。。 然后也不知道是不是因为这件事儿。 反正后来省教育局要求全省高校安装空调。  今夏酷暑不再：安徽各高校将全部装上空调    然后今年就装了空调。。。 然后。。直到现在，2014年6月26号，我还在穿长袖。。。 今年夏天冻死人了。。。= = 空调也没开过几次。。。  至于该不该抱怨。 我不置可否。 我是不会抱怨，因为有电风扇我就可以睡得很好了。其实很多时候吹电风扇还是为了吹蚊子。 但是要真是觉得热，也不用抱怨。 叫上一群人随便闹个事儿就行了。 题主学校的这个活动力度不够大啊，你要让学校感觉到你们的愤怒。  至于吃苦什么的，我个人的原则是，能住就住。 至于把这个和“奴性”说成一回事儿的。 我真的很讨厌这个词。 非要世上万事都得顺着你的心意才算不“奴”么。。。  当然，如果真的很热，装空调也是应该的。   所以，大学生可以抱怨学校没有空调，也可以要求学校安装空调。  因为现在生活水平已经有了改变，要是换在十几年前，每个学生宿舍都装空调确实是不可能的事。 所以对那些说不能吃苦的人，  我能吃苦，但是我为什么要自讨苦吃？  那些说自己当当年怎么怎么苦的，也只是一种嫉妒的心态罢了。  最后作为过来人，说一下装空调的事儿。 首先是空调内外机安装。大概耗时一个多星期（学校空调是格力的，安装人员也是格力，速度很快）。 然后在宿舍楼铺线，同时宿舍楼外建变电箱（我也不知道那玩意到底叫啥），这个是普通电工干的，用了俩星期。 然后期间整个合肥肥西县停电若干次，应该就是为装空调改电路。因为肥西大学城很多大学今年都在装，应该是集体改线。 然后就没了。 我们学校现在还在试运行，具体的收费方案还没出来。不知道其他学校是什么情况。
在当地最好的大学就读是一种什么样的体验？,出去玩，吃饭，遇一老大爷 问：小同学，安大的吧！ 回：不是大爷，我科大的( •̀∀•́ ) 又问：安大什么系的啊？  回：大爷不是啊，我是科大的，中科大(ฅ&gt;ω 大爷： 你不是女的吗？？？ 。。。 竟无言以对 (ಥ_ಥ)
为何安徽大学行政管理研究生分数这么高，达到了370分？,其实我觉得我无比适合回答这个问题。作为一个本科安大公共管理，研究生也是安大公共管理的学生，对安大是赤裸裸的爱啊。 2016年，报考安大公共管理学硕的大概400人左右，招收四十多人，录取比接近10:1，十个人里面招一个。竞争压力太大。大部分报考的学生是安徽人特别是合肥人，毕竟想研究生考回家的人还是挺多的。 安徽大学的公共管理专业可以说安徽最强的。中科大的同学不要生气，我们本科班保研最差的才去中科大，因为学校名声好听。毕竟中科大公共管理博士点刚刚被撤，他们学校也不太重视公共管理专业。对了，中科大公共管理只招收保研的，不招收考研的，所以想留安徽的考公共管理的同学们可选择的学校只有安大了。 最最重要的是安大公共管理考研不用考高数啊 。 有人说学校留名额给本校生，我坚决反对。其实安大本科生看不起研究生。所以保研留校的这么多年来一个都没有。像我们这种留校的都是考研党。
安徽大学在外省名气怎么样？（有听过安大的会计专业吗？）?,安大在省内名气不显，何况外省乎！
如何看待孟修然与安徽大学百事通发生的知识产权纠纷？,利益无关  高中时候和孟同学一个学校，感觉她是很怪（贬义）一个人，当然我不喷人，我也就是说说。 对于这件事，我认为安大百事通应该像孟同学道歉，并停用她的文章。我更愿意将事情理解的简单一点，安大百事通为了方便同学选课之类的，在没有做好沟通工作的情况下，用了孟的文章，这是安大百事通的问题，理应满足孟的所提出的两点要求条件，停用＋书面道歉。 当然了，得理的，不一定是好人。
